image	label	label_name	ground_truth_bb	best_prediction_bb	IoU
image0001.jpg	1	bus	[723, 367, 838, 489]		0.0
image0001.jpg	0	car	[598, 417, 660, 465]	[595, 419, 661, 466]	0.8840669559826411
image0001.jpg	0	car	[871, 425, 935, 467]	[872, 425, 933, 469]	0.9117437722419929
image0001.jpg	0	car	[471, 425, 536, 460]	[468, 412, 538, 460]	0.6770833333333334
image0001.jpg	0	car	[1095, 378, 1279, 546]	[1100, 380, 1280, 548]	0.9451619059736625
image0001.jpg	0	car	[664, 419, 716, 452]	[662, 416, 716, 450]	0.8309278350515464
image0001.jpg	0	car	[140, 413, 270, 453]	[142, 412, 229, 462]	0.5733113673805601
image0001.jpg	0	car	[231, 411, 304, 448]		0.0
image0001.jpg	0	car	[532, 411, 581, 454]	[532, 414, 582, 450]	0.8231451236584227
image0002.jpg	0	car	[242, 460, 605, 692]	[249, 461, 598, 685]	0.9282796618219815
image0002.jpg	0	car	[740, 392, 1034, 617]	[740, 386, 1031, 612]	0.9429126899964652
image0003.jpg	0	car	[395, 206, 958, 588]	[407, 217, 853, 565]	0.7216761366278259
image0003.jpg	0	car	[782, 197, 982, 406]	[782, 197, 983, 405]	0.9902875642734718
image0003.jpg	0	car	[936, 133, 1086, 317]	[934, 141, 1099, 313]	0.8548707753479126
image0003.jpg	0	car	[1061, 127, 1143, 233]	[1039, 136, 1146, 235]	0.7019680522460506
image0003.jpg	0	car	[1064, 101, 1184, 192]	[1069, 110, 1178, 197]	0.7795900566942869
image0004.jpg	0	car	[813, 399, 1045, 593]	[804, 398, 1047, 591]	0.9404809661550155
image0004.jpg	0	car	[157, 441, 375, 588]	[155, 439, 375, 591]	0.9583133971291866
image0004.jpg	0	car	[147, 428, 269, 497]	[145, 430, 205, 503]	0.43604129263913827
image0005.jpg	0	car	[191, 180, 449, 529]	[182, 184, 444, 526]	0.9291881443298969
image0005.jpg	0	car	[935, 80, 1068, 201]	[939, 74, 1086, 197]	0.7909962790210157
image0005.jpg	0	car	[670, 121, 833, 244]	[680, 122, 830, 244]	0.9127637288642825
image0005.jpg	0	car	[342, 112, 582, 208]	[489, 186, 668, 405]	0.03398953401445303
image0005.jpg	0	car	[786, 94, 950, 207]	[792, 97, 947, 208]	0.9123989939530155
image0005.jpg	0	car	[9, 15, 167, 698]		0.0
image0005.jpg	0	car	[176, 223, 308, 601]	[183, 193, 311, 584]	0.823163501705613
image0005.jpg	0	car	[400, 222, 516, 499]	[405, 205, 517, 484]	0.8479211615837658
image0005.jpg	0	car	[464, 217, 596, 447]	[403, 204, 609, 462]	0.5712350417701513
image0005.jpg	0	car	[534, 189, 641, 414]	[489, 186, 668, 405]	0.575440693158052
image0005.jpg	0	car	[617, 205, 672, 387]	[622, 183, 677, 390]	0.7401382675884506
image0005.jpg	0	car	[639, 174, 696, 346]	[623, 177, 694, 345]	0.7396733909702209
image0005.jpg	0	car	[691, 190, 735, 320]	[620, 162, 744, 308]	0.27866036925719195
image0006.jpg	0	car	[780, 245, 1263, 732]		0.0
image0006.jpg	0	car	[685, 315, 778, 549]		0.0
image0006.jpg	0	car	[326, 343, 408, 412]	[333, 341, 406, 408]	0.8175396278428669
image0006.jpg	0	car	[5, 324, 231, 479]	[0, 316, 227, 487]	0.872530872023734
