image	label	label_name	ground_truth_bb	best_prediction_bb	IoU
image0001.jpg	1	bus	[723, 367, 838, 489]		0.0
image0001.jpg	0	car	[598, 417, 660, 465]	[597, 419, 662, 466]	0.897137464611513
image0001.jpg	0	car	[871, 425, 935, 467]	[871, 426, 934, 470]	0.8978102189781022
image0001.jpg	0	car	[471, 425, 536, 460]	[471, 411, 538, 463]	0.6529850746268657
image0001.jpg	0	car	[1095, 378, 1279, 546]	[1103, 380, 1279, 547]	0.9397838394235718
image0001.jpg	0	car	[664, 419, 716, 452]	[663, 416, 718, 452]	0.8666666666666667
image0001.jpg	0	car	[140, 413, 270, 453]	[142, 413, 237, 452]	0.7125
image0001.jpg	0	car	[231, 411, 304, 448]	[258, 420, 312, 449]	0.43235985229942936
image0001.jpg	0	car	[532, 411, 581, 454]	[532, 416, 581, 452]	0.8372093023255814
image0002.jpg	0	car	[242, 460, 605, 692]	[251, 461, 599, 679]	0.9008264462809917
image0002.jpg	0	car	[740, 392, 1034, 617]	[739, 388, 1027, 614]	0.9435756175582015
image0003.jpg	0	car	[395, 206, 958, 588]	[402, 219, 873, 579]	0.7884091395199613
image0003.jpg	0	car	[782, 197, 982, 406]	[776, 200, 987, 403]	0.9220357459178343
image0003.jpg	0	car	[936, 133, 1086, 317]	[930, 128, 1101, 312]	0.8334885453529521
image0003.jpg	0	car	[1061, 127, 1143, 233]	[930, 128, 1101, 312]	0.116809433752364
image0003.jpg	0	car	[1064, 101, 1184, 192]	[930, 128, 1101, 312]	0.05917632946821272
image0004.jpg	0	car	[813, 399, 1045, 593]	[812, 399, 1047, 589]	0.9671332660494099
image0004.jpg	0	car	[157, 441, 375, 588]	[154, 436, 374, 591]	0.9314392501532981
image0004.jpg	0	car	[147, 428, 269, 497]	[154, 436, 374, 591]	0.19758893614624115
image0005.jpg	0	car	[191, 180, 449, 529]	[164, 177, 464, 527]	0.8484590014784488
image0005.jpg	0	car	[935, 80, 1068, 201]	[932, 75, 1078, 204]	0.8544653286609324
image0005.jpg	0	car	[670, 121, 833, 244]	[678, 124, 835, 247]	0.8959537572254336
image0005.jpg	0	car	[342, 112, 582, 208]	[343, 111, 609, 207]	0.8776235939855437
image0005.jpg	0	car	[786, 94, 950, 207]	[784, 95, 947, 209]	0.9449743213499633
image0005.jpg	0	car	[9, 15, 167, 698]	[164, 177, 464, 527]	0.00495600951553827
image0005.jpg	0	car	[176, 223, 308, 601]	[175, 256, 325, 595]	0.7990999678559949
image0005.jpg	0	car	[400, 222, 516, 499]	[393, 217, 532, 493]	0.8048131080389145
image0005.jpg	0	car	[464, 217, 596, 447]	[424, 206, 609, 454]	0.6617262423714037
image0005.jpg	0	car	[534, 189, 641, 414]	[420, 179, 670, 408]	0.40477095280867825
image0005.jpg	0	car	[617, 205, 672, 387]	[552, 167, 703, 350]	0.26880814345422677
image0005.jpg	0	car	[639, 174, 696, 346]	[646, 168, 747, 310]	0.39202121526576733
